instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,129.0,14;42;105;31;4,3;2;1;2;3,482.0,129.0,0.41336471983231604,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,128.0,14;42;105;31;4,3;2;1;2;3,480.0,128.0,0.4458288319874555,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,127.0,14;42;105;31;4,3;2;1;2;3,478.0,127.0,0.45651002996601164,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,126.0,14;42;105;31;4,3;2;1;2;3,476.0,126.0,0.4477823586203158,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,125.0,14;42;105;31;4,3;2;1;2;3,476.0,125.0,0.45299095823429525,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,124.0,14;42;105;31;4,3;2;1;2;3,476.0,124.0,0.43571302806958556,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,123.0,14;42;105;31;4,3;2;1;2;3,479.0,123.0,0.4415502299088985,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,122.0,14;42;105;31;4,3;2;1;2;3,482.0,122.0,0.4193889070302248,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,121.0,14;42;105;31;4,3;2;1;2;3,485.0,121.0,0.3901827153749764,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,120.0,14;42;105;31;4,3;2;1;2;3,488.0,120.0,0.37957371585071087,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,119.0,14;42;105;31;4,3;2;1;2;3,490.0,119.0,0.36803625826723874,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,118.0,14;42;105;31;4,3;2;1;2;3,492.0,118.0,0.36131459195166826,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,117.0,14;42;105;31;4,3;2;1;2;3,494.0,117.0,0.351695368764922,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,116.0,14;42;105;31;4,3;2;1;2;3,496.0,116.0,0.31826408370397985,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,115.0,14;42;105;31;4,3;2;1;2;3,496.0,115.0,0.30022405181080103,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,114.0,14;42;105;31;4,3;2;1;2;3,496.0,114.0,0.2901992332190275,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,113.0,14;42;105;31;4,3;2;1;2;3,496.0,113.0,0.2702404980082065,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,112.0,14;42;105;31;4,3;2;1;2;3,496.0,112.0,0.2503297091461718,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,111.0,14;42;105;31;4,3;2;1;2;3,498.0,111.0,0.2515379819087684,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,110.0,14;42;105;31;4,3;2;1;2;3,500.0,110.0,0.2437619010452181,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,109.0,14;42;105;31;4,3;2;1;2;3,502.0,109.0,0.232684887945652,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,108.0,14;42;105;31;4,3;2;1;2;3,504.0,108.0,0.22232116223312914,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,107.0,14;42;105;31;4,3;2;1;2;3,506.0,107.0,0.20928941946476698,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,106.0,14;42;105;31;4,3;2;1;2;3,508.0,106.0,0.19339011912234128,guided,50.0,2.0
3489264.0,medium,30.0,5.0,10.0,200.0,1.2,105.0,14;42;105;31;4,3;2;1;2;3,510.0,105.0,0.16149215307086706,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,140.0,0;63;64;53;37,3;2;2;2;2,656.0,124.0,0.18001313786953688,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,123.0,0;63;64;53;37,3;2;2;2;2,662.0,123.0,0.16174271306954324,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,122.0,0;63;64;53;37,3;2;2;2;2,668.0,122.0,0.15480278199538589,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,121.0,0;63;64;53;37,3;2;2;2;2,674.0,121.0,0.14819360990077257,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,120.0,0;63;64;53;37,3;2;2;2;2,680.0,106.0,0.14696788135915995,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,105.0,0;63;64;53;37,3;2;2;2;2,680.0,104.0,0.13369075069203973,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,103.0,0;63;64;53;37,3;2;2;2;2,686.0,103.0,0.1278935361187905,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,102.0,0;63;64;53;37,3;2;2;2;2,692.0,102.0,0.1285747999791056,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,101.0,0;63;64;53;37,3;2;2;2;2,700.0,101.0,0.12523089512251318,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,100.0,0;63;64;53;37,3;2;2;2;2,708.0,86.0,0.12379088113084435,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,85.0,0;63;64;53;37,3;2;2;2;2,708.0,84.0,0.13063560030423105,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,83.0,0;63;64;53;37,3;2;2;2;2,716.0,83.0,0.07378784590400755,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,82.0,0;63;64;53;37,3;2;2;2;2,724.0,82.0,0.06933775637298822,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,81.0,0;63;64;53;37,3;2;2;2;2,736.0,81.0,0.06507129990495741,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,80.0,0;63;64;53;37,3;2;2;2;2,744.0,80.0,0.06140709319151938,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,79.0,0;63;64;53;37,3;2;2;2;2,748.0,79.0,0.06660719448700547,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,78.0,0;63;64;53;37,3;2;2;2;2,752.0,78.0,0.05632068938575685,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,77.0,0;63;64;53;37,3;2;2;2;2,760.0,77.0,0.03626356669701636,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,76.0,0;63;64;53;37,3;2;2;2;2,768.0,72.0,0.034386616200208664,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,71.0,0;63;64;53;37,3;2;2;2;2,776.0,71.0,0.025106578832492232,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,70.0,0;63;64;53;37,3;2;2;2;2,784.0,70.0,0.023181211203336716,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,69.0,0;63;64;53;37,3;2;2;2;2,792.0,69.0,0.021281692665070295,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,68.0,0;63;64;53;37,3;2;2;2;2,800.0,68.0,0.019529559882357717,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,67.0,0;63;64;53;37,3;2;2;2;2,808.0,67.0,0.01752936001867056,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,66.0,0;63;64;53;37,3;2;2;2;2,816.0,66.0,0.015843427274376154,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,65.0,0;63;64;53;37,3;2;2;2;2,824.0,65.0,0.013978076865896583,guided,50.0,2.0
9821136.0,medium,32.0,5.0,7.0,140.0,1.2,64.0,0;63;64;53;37,3;2;2;2;2,836.0,64.0,0.012207656865939498,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,160.0,13;71;141;11;54,3;2;1;3;2,764.0,160.0,0.8417129348963499,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,159.0,13;71;141;11;54,3;2;1;3;2,768.0,159.0,0.8368281910661608,guided,50.0,2.0
8425936.0,medium,42.0,5.0,8.0,160.0,1.2,158.0,13;71;141;11;54,3;2;1;3;2,770.0,158.0,0.8690227316692472,guided,50.0,2.0
