instance_seed,category,N,M,D,K,assign_alpha,epsilon,loads,u,total_energy,makespan,solve_s,method,beam,prune_factor
8366435.0,small,36.0,5.0,6.0,120.0,1.2,99.0,0;26;83;23;88,3;2;1;2;1,466.0,99.0,0.6051582789514214,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,98.0,0;26;83;23;88,3;2;1;2;1,470.0,98.0,0.5867159804329276,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,97.0,0;26;83;23;88,3;2;1;2;1,474.0,97.0,0.5511276551987976,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,96.0,0;26;83;23;88,3;2;1;2;1,478.0,96.0,0.5188920542132109,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,95.0,0;26;83;23;88,3;2;1;2;1,478.0,95.0,0.49643278727307916,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,94.0,0;26;83;23;88,3;2;1;2;1,478.0,94.0,0.4678385544102639,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,93.0,0;26;83;23;88,3;2;1;2;1,480.0,93.0,0.4060444892384112,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,92.0,0;26;83;23;88,3;2;1;2;1,482.0,92.0,0.3660529712215066,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,91.0,0;26;83;23;88,3;2;1;2;1,484.0,91.0,0.341479848138988,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,90.0,0;26;83;23;88,3;2;1;2;1,486.0,90.0,0.3320869100280106,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,89.0,0;26;83;23;88,3;2;1;2;1,490.0,89.0,0.3035362388473004,guided,50.0,2.0
8366435.0,small,36.0,5.0,6.0,120.0,1.2,88.0,0;26;83;23;88,3;2;1;2;1,494.0,88.0,0.2694525420665741,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,120.0,18;41;13;74;90,3;3;3;2;2,879.0,111.0,0.4938402031548321,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,110.0,18;41;13;74;90,3;3;3;2;2,919.0,110.0,0.37278074491769075,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,109.0,18;41;13;74;90,3;3;3;2;2,919.0,109.0,0.3731269829440862,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,108.0,18;41;13;74;90,3;3;3;2;2,923.0,108.0,0.35355170210823417,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,107.0,18;41;13;74;90,3;3;3;2;2,923.0,107.0,0.3438976197503507,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,106.0,18;41;13;74;90,3;3;3;2;2,923.0,106.0,0.3410030633676797,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,105.0,18;41;13;74;90,3;3;3;2;2,919.0,105.0,0.32917036791332066,guided,50.0,2.0
2363613.0,small,35.0,5.0,6.0,120.0,1.2,104.0,18;41;13;74;90,3;3;3;2;2,919.0,104.0,0.33296143310144544,guided,50.0,2.0
